sa2_id,sa2_name,poiname,poigroup,poitype,poi_json
107011131,Dapto - Avondale,KUNDLE STREET RESERVE,3,Park,"{""attributes"": {""objectid"": 11841, ""topoid"": 502124095, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""KUNDLE STREET RESERVE"", ""poilabel"": ""KUNDLE STREET RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 91922, ""centroidid"": null, ""shapeuuid"": ""e6a1206b-5f96-39a0-ab22-c481442d9ce6"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.8052343311148, ""y"": -34.48820914014503}}"
107011131,Dapto - Avondale,LIONS PARK,3,Park,"{""attributes"": {""objectid"": 11842, ""topoid"": 502124106, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""LIONS PARK"", ""poilabel"": ""LIONS PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 90835, ""centroidid"": null, ""shapeuuid"": ""317d89d3-4d83-3e2c-a4d5-0a6531bffbca"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.80381060020417, ""y"": -34.49116676951102}}"
107011131,Dapto - Avondale,WEBB PARK,3,Park,"{""attributes"": {""objectid"": 11843, ""topoid"": 502124117, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""WEBB PARK"", ""poilabel"": ""WEBB PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 93817, ""centroidid"": null, ""shapeuuid"": ""eb89742b-76c4-3655-b07b-74ace1713fbe"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.80899466721604, ""y"": -34.496059543079994}}"
107011131,Dapto - Avondale,WILLIAM BEACH PARK,3,Park,"{""attributes"": {""objectid"": 11903, ""topoid"": 502125272, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""WILLIAM BEACH PARK"", ""poilabel"": ""WILLIAM BEACH PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1588855769000, ""enddate"": 32503680000000, ""lastupdate"": 1588855784212, ""msoid"": 224244, ""centroidid"": null, ""shapeuuid"": ""a90d0753-b1e6-3255-ae81-a7827a14b99b"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""S""}, ""geometry"": {""x"": 150.80973802311365, ""y"": -34.47839490047301}}"
107011131,Dapto - Avondale,KHAN PARK,3,Park,"{""attributes"": {""objectid"": 11922, ""topoid"": 502127860, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""KHAN PARK"", ""poilabel"": ""KHAN PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 94030, ""centroidid"": null, ""shapeuuid"": ""8fda6dfe-8fac-3c1e-b7d3-690c96977adb"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.80020785106166, ""y"": -34.48620226679954}}"
107011131,Dapto - Avondale,DAPTO POLICE STATION,1,Police Station,"{""attributes"": {""objectid"": 11931, ""topoid"": 502127983, ""poigroup"": 1, ""poitype"": ""Police Station"", ""poiname"": ""DAPTO POLICE STATION"", ""poilabel"": ""DAPTO POLICE STATION"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 20, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 62266, ""centroidid"": null, ""shapeuuid"": ""9af904eb-c99d-39d4-937b-4a7ee05d8bc5"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.7984549989905, ""y"": -34.49563899746875}}"
107011131,Dapto - Avondale,ST JOHN THE EVANGELIST,1,Place Of Worship,"{""attributes"": {""objectid"": 11932, ""topoid"": 502127994, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": ""ST JOHN THE EVANGELIST"", ""poilabel"": ""ST JOHN THE EVANGELIST"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""CATHOLIC"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1379926636000, ""enddate"": 32503680000000, ""lastupdate"": 1379926727901, ""msoid"": 161490, ""centroidid"": null, ""shapeuuid"": ""54c08968-e33a-35e0-9b7d-8a59cbfa325f"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.79902057200516, ""y"": -34.49294793939422}}"
107011131,Dapto - Avondale,DAPTO CHURCH OF CHRIST,1,Place Of Worship,"{""attributes"": {""objectid"": 11934, ""topoid"": 502128049, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": ""DAPTO CHURCH OF CHRIST"", ""poilabel"": ""DAPTO CHURCH OF CHRIST"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""CHURCH OF CHRIST"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1379926636000, ""enddate"": 32503680000000, ""lastupdate"": 1379926727903, ""msoid"": 161491, ""centroidid"": null, ""shapeuuid"": ""9968cd27-87d5-3609-8a1a-8a2c162da3ea"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.8174604829801, ""y"": -34.49416508654506}}"
107011131,Dapto - Avondale,LAKESIDE LEISURE CENTRE,3,Sports Centre,"{""attributes"": {""objectid"": 11939, ""topoid"": 502128193, ""poigroup"": 3, ""poitype"": ""Sports Centre"", ""poiname"": ""LAKESIDE LEISURE CENTRE"", ""poilabel"": ""LAKESIDE LEISURE CENTRE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 42, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 68578, ""centroidid"": null, ""shapeuuid"": ""a6c3a7fb-80b5-38b7-9c34-1c36da59f5eb"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.81673823659332, ""y"": -34.4927358698553}}"
107011131,Dapto - Avondale,DAPTO POST OFFICE,1,Post Office,"{""attributes"": {""objectid"": 11998, ""topoid"": 502130344, ""poigroup"": 1, ""poitype"": ""Post Office"", ""poiname"": ""DAPTO POST OFFICE"", ""poilabel"": ""DAPTO POST OFFICE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 21, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 62657, ""centroidid"": null, ""shapeuuid"": ""d7745e25-f743-3732-8d36-0bdfdffb12a4"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 150.79415270119355, ""y"": -34.49459836068212}}"
