sa2_id,sa2_name,poiname,poigroup,poitype,poi_json
120011383,Concord - Mortlake - Cabarita,CATHOLIC CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 849, ""topoid"": 500175264, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""CATHOLIC CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""CATHOLIC"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 60317, ""centroidid"": null, ""shapeuuid"": ""ecdfa4df-749c-3b3a-9c10-4c1182d018d1"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.10953096738768, ""y"": -33.86094616549373}}"
120011383,Concord - Mortlake - Cabarita,SEVENTH DAY ADVENTIST CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 852, ""topoid"": 500175364, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""SEVENTH DAY ADVENTIST CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""SEVENTH DAY ADVENTIST"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1415789027000, ""enddate"": 32503680000000, ""lastupdate"": 1415789047889, ""msoid"": 170776, ""centroidid"": null, ""shapeuuid"": ""4e17af84-e621-3e33-9c2e-0c94d698f337"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1004833541366, ""y"": -33.8617039895419}}"
120011383,Concord - Mortlake - Cabarita,CONCORD GOLF COURSE,3,Golf Course,"{""attributes"": {""objectid"": 1120, ""topoid"": 500189404, ""poigroup"": 3, ""poitype"": ""Golf Course"", ""poiname"": ""CONCORD GOLF COURSE"", ""poilabel"": ""CONCORD GOLF COURSE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 54, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 82320, ""centroidid"": null, ""shapeuuid"": ""309c521f-dbba-3555-8937-b63f643f57e9"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.09733228241058, ""y"": -33.85039660161032}}"
120011383,Concord - Mortlake - Cabarita,PRINCE EDWARD PARK,3,Park,"{""attributes"": {""objectid"": 1121, ""topoid"": 500189426, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""PRINCE EDWARD PARK"", ""poilabel"": ""PRINCE EDWARD PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 87520, ""centroidid"": null, ""shapeuuid"": ""d6f98b1f-5ea3-3c86-9443-180b60ef1bec"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.11900851163875, ""y"": -33.852814769475195}}"
120011383,Concord - Mortlake - Cabarita,MASSEY PARK GOLF COURSE,3,Golf Course,"{""attributes"": {""objectid"": 1122, ""topoid"": 500189437, ""poigroup"": 3, ""poitype"": ""Golf Course"", ""poiname"": ""MASSEY PARK GOLF COURSE"", ""poilabel"": ""MASSEY PARK GOLF COURSE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 54, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 82592, ""centroidid"": null, ""shapeuuid"": ""6cb197f3-fb80-3f16-afc6-b8011ce8a7fe"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.11164710354961, ""y"": -33.85316749313805}}"
120011383,Concord - Mortlake - Cabarita,STEWART RESERVE,3,Park,"{""attributes"": {""objectid"": 1125, ""topoid"": 500189470, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""STEWART RESERVE"", ""poilabel"": ""STEWART RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 90711, ""centroidid"": null, ""shapeuuid"": ""519c8dcb-5237-3bec-8686-7d7faabaea09"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1068156082188, ""y"": -33.85783492092035}}"
120011383,Concord - Mortlake - Cabarita,HENLEY PARK,3,Park,"{""attributes"": {""objectid"": 1128, ""topoid"": 500189527, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""HENLEY PARK"", ""poilabel"": ""HENLEY PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 94039, ""centroidid"": null, ""shapeuuid"": ""0b15b8f9-07b8-3efb-beb5-648fc60bce33"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.09872461181217, ""y"": -33.85995096671772}}"
120011383,Concord - Mortlake - Cabarita,CENTRAL PARK,3,Park,"{""attributes"": {""objectid"": 1129, ""topoid"": 500189538, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""CENTRAL PARK"", ""poilabel"": ""CENTRAL PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 87057, ""centroidid"": null, ""shapeuuid"": ""5dd22b58-b4ee-399b-aaf0-4c7ac21bf67a"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.09631458372013, ""y"": -33.85683001412586}}"
120011383,Concord - Mortlake - Cabarita,BAYVIEW PARK,3,Park,"{""attributes"": {""objectid"": 1134, ""topoid"": 500189627, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""BAYVIEW PARK"", ""poilabel"": ""BAYVIEW PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 90431, ""centroidid"": null, ""shapeuuid"": ""a0f63a4c-e628-39d2-8939-f794a270c50c"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1212917182739, ""y"": -33.85789456732141}}"
120011383,Concord - Mortlake - Cabarita,WANGAL RESERVE,3,Park,"{""attributes"": {""objectid"": 1146, ""topoid"": 500189971, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""WANGAL RESERVE"", ""poilabel"": ""WANGAL RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1582566525000, ""enddate"": 32503680000000, ""lastupdate"": 1582629998330, ""msoid"": 223541, ""centroidid"": null, ""shapeuuid"": ""3e37d08b-634a-3a22-86eb-ae4ae466b27e"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1044088419096, ""y"": -33.835145098095715}}"
