sa2_id,sa2_name,poiname,poigroup,poitype,poi_json
111011206,Belmont - Bennetts Green,BELMONT PARK,3,Park,"{""attributes"": {""objectid"": 8801, ""topoid"": 501624298, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""BELMONT PARK"", ""poilabel"": ""BELMONT PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1378467848000, ""enddate"": 32503680000000, ""lastupdate"": 1378468203542, ""msoid"": 159913, ""centroidid"": null, ""shapeuuid"": ""2497b1c4-5fd7-30f4-b3c2-1192515ff396"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""S""}, ""geometry"": {""x"": 151.6661634381117, ""y"": -33.03353988723258}}"
111011206,Belmont - Bennetts Green,CULLEN PARK,3,Park,"{""attributes"": {""objectid"": 8841, ""topoid"": 501626586, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""CULLEN PARK"", ""poilabel"": ""CULLEN PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1378467848000, ""enddate"": 32503680000000, ""lastupdate"": 1378468203546, ""msoid"": 159915, ""centroidid"": null, ""shapeuuid"": ""11e2f164-6b65-330c-98c7-21efc83b6156"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.65759194543597, ""y"": -33.040240435290926}}"
111011206,Belmont - Bennetts Green,JEWELLSTOWN PLAZA,1,Shopping Centre,"{""attributes"": {""objectid"": 8851, ""topoid"": 501626820, ""poigroup"": 1, ""poitype"": ""Shopping Centre"", ""poiname"": ""JEWELLSTOWN PLAZA"", ""poilabel"": ""JEWELLSTOWN PLAZA"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 25, ""accesscontrol"": 1, ""startdate"": 1378728718000, ""enddate"": 32503680000000, ""lastupdate"": 1378728814945, ""msoid"": 159938, ""centroidid"": null, ""shapeuuid"": ""a0ed861f-d279-34fe-a41d-f62b2aa27e68"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.684563332734, ""y"": -33.01297273503024}}"
111011206,Belmont - Bennetts Green,BAPTIST CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 8852, ""topoid"": 501626875, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""BAPTIST CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""BAPTIST"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1378467848000, ""enddate"": 32503680000000, ""lastupdate"": 1378468203288, ""msoid"": 159885, ""centroidid"": null, ""shapeuuid"": ""4ba370ce-bfca-3ef0-89b0-9f96a4ef1f5f"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.66009619512317, ""y"": -33.033124505685386}}"
111011206,Belmont - Bennetts Green,ANGLICAN CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 8853, ""topoid"": 501626897, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""ANGLICAN CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""ANGLICAN"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 60744, ""centroidid"": null, ""shapeuuid"": ""5581fbe2-58fb-3781-a584-7a3cb59770c6"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.6628285773667, ""y"": -33.03680191590435}}"
111011206,Belmont - Bennetts Green,Park,3,Park,"{""attributes"": {""objectid"": 8869, ""topoid"": 501627264, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": null, ""poilabel"": ""Park"", ""poilabeltype"": ""GENERIC"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 94961, ""centroidid"": null, ""shapeuuid"": ""1a584677-c591-3e2c-aa60-ac10aa6a8e56"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.67212101566864, ""y"": -33.0120994911054}}"
111011206,Belmont - Bennetts Green,Park,3,Park,"{""attributes"": {""objectid"": 8870, ""topoid"": 501627275, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": null, ""poilabel"": ""Park"", ""poilabeltype"": ""GENERIC"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 92066, ""centroidid"": null, ""shapeuuid"": ""8515a17f-03b9-356d-8d9f-f2e4663840b1"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.67175200391964, ""y"": -33.01506323418012}}"
111011206,Belmont - Bennetts Green,Park,3,Park,"{""attributes"": {""objectid"": 8893, ""topoid"": 501627731, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": null, ""poilabel"": ""Park"", ""poilabeltype"": ""GENERIC"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 89197, ""centroidid"": null, ""shapeuuid"": ""2d2308f0-d0bc-31ed-9cdb-6686ea558705"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.68503585106498, ""y"": -33.01790427775282}}"
111011206,Belmont - Bennetts Green,Park,3,Park,"{""attributes"": {""objectid"": 8903, ""topoid"": 501627919, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": null, ""poilabel"": ""Park"", ""poilabeltype"": ""GENERIC"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 89239, ""centroidid"": null, ""shapeuuid"": ""5a2062ab-6e16-3c13-b49c-00d6c7ff5c0c"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.6880154065555, ""y"": -33.01287405984171}}"
111011206,Belmont - Bennetts Green,LENAGHAN OVAL,3,Sports Field,"{""attributes"": {""objectid"": 8904, ""topoid"": 501627930, ""poigroup"": 3, ""poitype"": ""Sports Field"", ""poiname"": ""LENAGHAN OVAL"", ""poilabel"": ""LENAGHAN OVAL"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 67, ""accesscontrol"": 1, ""startdate"": 1378467848000, ""enddate"": 32503680000000, ""lastupdate"": 1378468203588, ""msoid"": 159923, ""centroidid"": null, ""shapeuuid"": ""59d4f723-59ee-3a6c-af91-0dcdc297cbd4"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.6766786344323, ""y"": -33.02296157601602}}"
111011206,Belmont - Bennetts Green,Park,3,Park,"{""attributes"": {""objectid"": 8905, ""topoid"": 501627931, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": null, ""poilabel"": ""Park"", ""poilabeltype"": ""GENERIC"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1378728718000, ""enddate"": 32503680000000, ""lastupdate"": 1378728814978, ""msoid"": 159942, ""centroidid"": null, ""shapeuuid"": ""c54d1ca1-d82f-3f76-bd29-c8f93788ef38"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.68156254196836, ""y"": -33.01258444254653}}"
