sa2_id,sa2_name,poiname,poigroup,poitype,poi_json
121011399,Chatswood (West) - Lane Cove North,UNITING CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 835, ""topoid"": 500174886, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""UNITING CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""UNITING"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1415184523000, ""enddate"": 32503680000000, ""lastupdate"": 1415184560338, ""msoid"": 170383, ""centroidid"": null, ""shapeuuid"": ""c32a8117-4002-3b70-9255-9f5015423d0a"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17888630978985, ""y"": -33.80567464255529}}"
121011399,Chatswood (West) - Lane Cove North,WALLACE PARK RESERVE,3,Park,"{""attributes"": {""objectid"": 838, ""topoid"": 500174997, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""WALLACE PARK RESERVE"", ""poilabel"": ""WALLACE PARK RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056274, ""msoid"": 170154, ""centroidid"": null, ""shapeuuid"": ""ce07ce9b-c852-39da-a184-a79f05ecddf0"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17519043409845, ""y"": -33.80261059329322}}"
121011399,Chatswood (West) - Lane Cove North,MOWBRAY PARK,3,Park,"{""attributes"": {""objectid"": 1042, ""topoid"": 500186660, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""MOWBRAY PARK"", ""poilabel"": ""MOWBRAY PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 90924, ""centroidid"": null, ""shapeuuid"": ""3a3cfc42-bc0a-34f6-8cec-3d85d58588c2"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.15443978941315, ""y"": -33.80152850656411}}"
121011399,Chatswood (West) - Lane Cove North,OH REID OVAL,3,Sports Field,"{""attributes"": {""objectid"": 1052, ""topoid"": 500186948, ""poigroup"": 3, ""poitype"": ""Sports Field"", ""poiname"": ""OH REID OVAL"", ""poilabel"": ""OH REID OVAL"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""CRICKET SOCCER"", ""poisourcefeatureoid"": 67, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056278, ""msoid"": 170156, ""centroidid"": null, ""shapeuuid"": ""885f849b-b89d-31bc-b15e-7804feddc73e"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16101728895777, ""y"": -33.7970299063634}}"
121011399,Chatswood (West) - Lane Cove North,PRESBYTERIAN CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 1053, ""topoid"": 500186982, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""PRESBYTERIAN CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""PRESBYTERIAN"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 59218, ""centroidid"": null, ""shapeuuid"": ""dd31ece8-d912-3d50-a6ed-9f2f46a8d094"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.15822088558056, ""y"": -33.80369163100879}}"
121011399,Chatswood (West) - Lane Cove North,ANGLICAN CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 1054, ""topoid"": 500186993, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""ANGLICAN CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""ANGLICAN"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 59219, ""centroidid"": null, ""shapeuuid"": ""b81b9be8-7af0-3d3d-a2c3-22f1078ecbc0"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17101577432692, ""y"": -33.804303835183354}}"
121011399,Chatswood (West) - Lane Cove North,CAMPBELL PARK,3,Park,"{""attributes"": {""objectid"": 1055, ""topoid"": 500187004, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""CAMPBELL PARK"", ""poilabel"": ""CAMPBELL PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""PLAYGROUND"", ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056280, ""msoid"": 170157, ""centroidid"": null, ""shapeuuid"": ""22fb4cda-65e4-3e76-b398-125eaf555114"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17406012170565, ""y"": -33.80502007491038}}"
121011399,Chatswood (West) - Lane Cove North,COOLAROO PARK,3,Park,"{""attributes"": {""objectid"": 1056, ""topoid"": 500187026, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""COOLAROO PARK"", ""poilabel"": ""COOLAROO PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 90709, ""centroidid"": null, ""shapeuuid"": ""b8fc3f1a-08ca-3d00-86a7-cf7d338083bf"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16815463385885, ""y"": -33.8047158021101}}"
121011399,Chatswood (West) - Lane Cove North,HELEN STREET RESERVE,3,Park,"{""attributes"": {""objectid"": 1057, ""topoid"": 500187037, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""HELEN STREET RESERVE"", ""poilabel"": ""HELEN STREET RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1415184523000, ""enddate"": 32503680000000, ""lastupdate"": 1415184560457, ""msoid"": 170446, ""centroidid"": null, ""shapeuuid"": ""12ee36ed-aa86-32f2-a97f-25962ac629e6"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17679396460983, ""y"": -33.807923427784495}}"
121011399,Chatswood (West) - Lane Cove North,TANTALLON PARK,3,Sports Field,"{""attributes"": {""objectid"": 1059, ""topoid"": 500187115, ""poigroup"": 3, ""poitype"": ""Sports Field"", ""poiname"": ""TANTALLON PARK"", ""poilabel"": ""TANTALLON PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""CRICKET  RUGBY"", ""poisourcefeatureoid"": 67, ""accesscontrol"": 1, ""startdate"": 1415184523000, ""enddate"": 32503680000000, ""lastupdate"": 1415184560435, ""msoid"": 170439, ""centroidid"": null, ""shapeuuid"": ""dd10a186-ec9a-3a90-b2e5-2551b035090f"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.15949565335927, ""y"": -33.8092119994356}}"
121011399,Chatswood (West) - Lane Cove North,NEW APOSTIC CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 30296, ""topoid"": 504646044, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""NEW APOSTIC CHURCH"", ""poilabeltype"": ""ALTERNATE"", ""poialtlabel"": ""NEW APOSTIC CHURCH"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1415184523000, ""enddate"": 32503680000000, ""lastupdate"": 1415184560350, ""msoid"": 170386, ""centroidid"": null, ""shapeuuid"": ""11002394-a9fd-360d-b873-984532642823"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17064230783237, ""y"": -33.812173285904855}}"
121011399,Chatswood (West) - Lane Cove North,HIRONDELLE PRIVATE HOSPITAL,1,General Hospital,"{""attributes"": {""objectid"": 35746, ""topoid"": 505134974, ""poigroup"": 1, ""poitype"": ""General Hospital"", ""poiname"": ""HIRONDELLE PRIVATE HOSPITAL"", ""poilabel"": ""HIRONDELLE PRIVATE HOSPITAL"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 12, ""accesscontrol"": 1, ""startdate"": 1637746158000, ""enddate"": 32503680000000, ""lastupdate"": 1637746178211, ""msoid"": 234332, ""centroidid"": null, ""shapeuuid"": ""9498dcce-568f-3245-a538-1121ed8e7d69"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17869667722996, ""y"": -33.790050444269106}}"
121011399,Chatswood (West) - Lane Cove North,ANGLO PARK,3,Park,"{""attributes"": {""objectid"": 35747, ""topoid"": 505134975, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""ANGLO PARK"", ""poilabel"": ""ANGLO PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056320, ""msoid"": 170175, ""centroidid"": null, ""shapeuuid"": ""68357922-177a-3ef5-a0d7-235e2e187943"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17522083129103, ""y"": -33.79442578073736}}"
121011399,Chatswood (West) - Lane Cove North,ANGLICAN CHURCH,1,Place Of Worship,"{""attributes"": {""objectid"": 35748, ""topoid"": 505134976, ""poigroup"": 1, ""poitype"": ""Place Of Worship"", ""poiname"": null, ""poilabel"": ""ANGLICAN CHURCH"", ""poilabeltype"": ""DERIVED"", ""poialtlabel"": ""ANGLICAN"", ""poisourcefeatureoid"": 19, ""accesscontrol"": 1, ""startdate"": 1415103242000, ""enddate"": 32503680000000, ""lastupdate"": 1415103279452, ""msoid"": 170316, ""centroidid"": null, ""shapeuuid"": ""f87ca875-5be7-35e9-8000-3202c091087a"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1773818760307, ""y"": -33.795539806264586}}"
121011399,Chatswood (West) - Lane Cove North,KENNETH SLESSOR PARK,3,Park,"{""attributes"": {""objectid"": 35750, ""topoid"": 505134980, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""KENNETH SLESSOR PARK"", ""poilabel"": ""KENNETH SLESSOR PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 94237, ""centroidid"": null, ""shapeuuid"": ""51cbcb5b-9f91-381d-b81e-a96d318f90e1"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17764691407376, ""y"": -33.79738482577772}}"
121011399,Chatswood (West) - Lane Cove North,TENNIS COURTS,3,Sports Court,"{""attributes"": {""objectid"": 35751, ""topoid"": 505134982, ""poigroup"": 3, ""poitype"": ""Sports Court"", ""poiname"": null, ""poilabel"": ""TENNIS COURTS"", ""poilabeltype"": ""ALTERNATE"", ""poialtlabel"": ""TENNIS COURTS"", ""poisourcefeatureoid"": 66, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 97334, ""centroidid"": null, ""shapeuuid"": ""42833d9c-bedb-3dc5-a3df-49b8eec536ea"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17280766538377, ""y"": -33.797083008728194}}"
121011399,Chatswood (West) - Lane Cove North,SUTHERLAND PARK,3,Picnic Area,"{""attributes"": {""objectid"": 35756, ""topoid"": 505134988, ""poigroup"": 3, ""poitype"": ""Picnic Area"", ""poiname"": ""SUTHERLAND PARK"", ""poilabel"": ""SUTHERLAND PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""PLAYGROUND"", ""poisourcefeatureoid"": 62, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056324, ""msoid"": 170176, ""centroidid"": null, ""shapeuuid"": ""6678d701-50d1-3059-8357-045949575259"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17810623794992, ""y"": -33.802571752560596}}"
121011399,Chatswood (West) - Lane Cove North,GOODLET RESERVE,3,Park,"{""attributes"": {""objectid"": 35757, ""topoid"": 505134989, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""GOODLET RESERVE"", ""poilabel"": ""GOODLET RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 88787, ""centroidid"": null, ""shapeuuid"": ""c1e1ff28-9087-367d-b56e-d14429a36b91"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1749250735601, ""y"": -33.80962483542873}}"
121011399,Chatswood (West) - Lane Cove North,BATTEN RESERVE,3,Park,"{""attributes"": {""objectid"": 35926, ""topoid"": 505135251, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""BATTEN RESERVE"", ""poilabel"": ""BATTEN RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 85967, ""centroidid"": null, ""shapeuuid"": ""d80859dc-028d-3b09-85e2-0acd0f47ebba"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16152534014984, ""y"": -33.807020611585294}}"
121011399,Chatswood (West) - Lane Cove North,CHATSWOOD ROTARY WAR MEMORIAL ATHLETICS FIELD,3,Sports Field,"{""attributes"": {""objectid"": 35927, ""topoid"": 505135252, ""poigroup"": 3, ""poitype"": ""Sports Field"", ""poiname"": ""CHATSWOOD ROTARY WAR MEMORIAL ATHLETICS FIELD"", ""poilabel"": ""CHATSWOOD ROTARY WAR MEMORIAL ATHLETICS FIELD"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 67, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056344, ""msoid"": 170184, ""centroidid"": null, ""shapeuuid"": ""48de3b0d-22c6-3f7c-9001-8c85d55537ce"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.14743338115127, ""y"": -33.800237084089304}}"
121011399,Chatswood (West) - Lane Cove North,CHATSWOOD GOLF COURSE,3,Golf Course,"{""attributes"": {""objectid"": 35928, ""topoid"": 505135253, ""poigroup"": 3, ""poitype"": ""Golf Course"", ""poiname"": ""CHATSWOOD GOLF COURSE"", ""poilabel"": ""CHATSWOOD GOLF COURSE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 54, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 82432, ""centroidid"": null, ""shapeuuid"": ""c28eeb52-00c2-348c-bdfd-2b87e38c7174"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1617086809094, ""y"": -33.800377396835934}}"
121011399,Chatswood (West) - Lane Cove North,FERNDALE PARK,3,Park,"{""attributes"": {""objectid"": 35930, ""topoid"": 505135255, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""FERNDALE PARK"", ""poilabel"": ""FERNDALE PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 84822, ""centroidid"": null, ""shapeuuid"": ""62458cf4-4f03-36f1-a2e8-63e9c1014971"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16947509085108, ""y"": -33.799127540431066}}"
121011399,Chatswood (West) - Lane Cove North,LOWANNA PARK,3,Picnic Area,"{""attributes"": {""objectid"": 35931, ""topoid"": 505135256, ""poigroup"": 3, ""poitype"": ""Picnic Area"", ""poiname"": ""LOWANNA PARK"", ""poilabel"": ""LOWANNA PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""PLAYGROUND"", ""poisourcefeatureoid"": 62, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056346, ""msoid"": 170185, ""centroidid"": null, ""shapeuuid"": ""650c139a-cc61-3f88-8cc9-17707cc056ae"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16800949754992, ""y"": -33.797216966377796}}"
121011399,Chatswood (West) - Lane Cove North,FULLERS PARK,3,Park,"{""attributes"": {""objectid"": 35932, ""topoid"": 505135257, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""FULLERS PARK"", ""poilabel"": ""FULLERS PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 93975, ""centroidid"": null, ""shapeuuid"": ""8d8dab64-3dbb-3da3-9293-2fe681d90b36"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16253735519948, ""y"": -33.792135725910974}}"
121011399,Chatswood (West) - Lane Cove North,GREVILLE STREET RESERVE,3,Sports Field,"{""attributes"": {""objectid"": 35933, ""topoid"": 505135258, ""poigroup"": 3, ""poitype"": ""Sports Field"", ""poiname"": ""GREVILLE STREET RESERVE"", ""poilabel"": ""GREVILLE STREET RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 67, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056348, ""msoid"": 170186, ""centroidid"": null, ""shapeuuid"": ""c921392f-ba30-314e-8e18-91ff5e040d90"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16861524771568, ""y"": -33.79333932850909}}"
121011399,Chatswood (West) - Lane Cove North,NATIONAL ACOUSTIC LABORATORIES,2,Research Station,"{""attributes"": {""objectid"": 35934, ""topoid"": 505135259, ""poigroup"": 2, ""poitype"": ""Research Station"", ""poiname"": ""NATIONAL ACOUSTIC LABORATORIES"", ""poilabel"": ""NATIONAL ACOUSTIC LABORATORIES"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 109, ""accesscontrol"": 1, ""startdate"": 1414746812000, ""enddate"": 32503680000000, ""lastupdate"": 1414756056000, ""msoid"": 170049, ""centroidid"": null, ""shapeuuid"": ""ad2d09a9-496d-3faa-a661-e81c077cb02f"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1672642596818, ""y"": -33.79393877671752}}"
121011399,Chatswood (West) - Lane Cove North,TENNIS COURTS,3,Sports Court,"{""attributes"": {""objectid"": 35935, ""topoid"": 505135260, ""poigroup"": 3, ""poitype"": ""Sports Court"", ""poiname"": null, ""poilabel"": ""TENNIS COURTS"", ""poilabeltype"": ""ALTERNATE"", ""poialtlabel"": ""TENNIS COURTS"", ""poisourcefeatureoid"": 66, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 98975, ""centroidid"": null, ""shapeuuid"": ""f912a345-2e6d-373e-a52d-1b71a8b88654"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1655907288502, ""y"": -33.796878065697356}}"
121011399,Chatswood (West) - Lane Cove North,TENNIS COURTS,3,Sports Court,"{""attributes"": {""objectid"": 35936, ""topoid"": 505135261, ""poigroup"": 3, ""poitype"": ""Sports Court"", ""poiname"": null, ""poilabel"": ""TENNIS COURTS"", ""poilabeltype"": ""ALTERNATE"", ""poialtlabel"": ""TENNIS COURTS"", ""poisourcefeatureoid"": 66, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 97665, ""centroidid"": null, ""shapeuuid"": ""86f78a4a-142b-38a1-af66-8b0c9a13004c"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1665502337782, ""y"": -33.797050398114074}}"
121011399,Chatswood (West) - Lane Cove North,TENNIS COURTS,3,Sports Court,"{""attributes"": {""objectid"": 35937, ""topoid"": 505135262, ""poigroup"": 3, ""poitype"": ""Sports Court"", ""poiname"": null, ""poilabel"": ""TENNIS COURTS"", ""poilabeltype"": ""ALTERNATE"", ""poialtlabel"": ""TENNIS COURTS"", ""poisourcefeatureoid"": 66, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 98979, ""centroidid"": null, ""shapeuuid"": ""798c46db-73b5-35fb-9c02-1d1b19f7a00f"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16608533495742, ""y"": -33.79692914212058}}"
121011399,Chatswood (West) - Lane Cove North,CHATSWOOD TENNIS CLUB,1,Community Facility,"{""attributes"": {""objectid"": 35938, ""topoid"": 505135263, ""poigroup"": 1, ""poitype"": ""Community Facility"", ""poiname"": ""CHATSWOOD TENNIS CLUB"", ""poilabel"": ""CHATSWOOD TENNIS CLUB"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 162, ""accesscontrol"": 1, ""startdate"": 1443790574000, ""enddate"": 32503680000000, ""lastupdate"": 1443790871000, ""msoid"": 195896, ""centroidid"": null, ""shapeuuid"": ""b8d23e7d-70c3-3dfd-a954-7be6fc5b85ed"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.1658693206743, ""y"": -33.79708923015475}}"
121011399,Chatswood (West) - Lane Cove North,KOBADA PARK,3,Park,"{""attributes"": {""objectid"": 35939, ""topoid"": 505135264, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""KOBADA PARK"", ""poilabel"": ""KOBADA PARK"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 91520, ""centroidid"": null, ""shapeuuid"": ""0cd46f4d-676c-3377-b836-316b15281e9d"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.15567646862377, ""y"": -33.79525840844829}}"
121011399,Chatswood (West) - Lane Cove North,STRINGYBARK RESERVE,3,Park,"{""attributes"": {""objectid"": 37735, ""topoid"": 505193332, ""poigroup"": 3, ""poitype"": ""Park"", ""poiname"": ""STRINGYBARK RESERVE"", ""poilabel"": ""STRINGYBARK RESERVE"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": ""PLAYGROUND"", ""poisourcefeatureoid"": 61, ""accesscontrol"": 1, ""startdate"": 1415184523000, ""enddate"": 32503680000000, ""lastupdate"": 1415184560511, ""msoid"": 170469, ""centroidid"": null, ""shapeuuid"": ""b5b8ddc6-52d5-3106-9ea5-a94e6a90dbd5"", ""changetype"": ""M"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.17174065547243, ""y"": -33.809018592812855}}"
121011399,Chatswood (West) - Lane Cove North,LANE COVE NORTH,8,Suburb,"{""attributes"": {""objectid"": 53378, ""topoid"": 511756473, ""poigroup"": 8, ""poitype"": ""Suburb"", ""poiname"": ""LANE COVE NORTH"", ""poilabel"": ""LANE COVE NORTH"", ""poilabeltype"": ""NAMED"", ""poialtlabel"": null, ""poisourcefeatureoid"": 131, ""accesscontrol"": 1, ""startdate"": 1285588392000, ""enddate"": 32503680000000, ""lastupdate"": 1285588392535, ""msoid"": 115818, ""centroidid"": null, ""shapeuuid"": ""27b022e2-4d7f-39c7-bffb-b29a9a905880"", ""changetype"": ""I"", ""processstate"": null, ""urbanity"": ""U""}, ""geometry"": {""x"": 151.16649538264699, ""y"": -33.80626690208087}}"
